名称,営業日,住所,アクセス
居酒屋 もぐもぐ 高松瓦町店,月～日、祝日、祝前日: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,香川県高松市古馬場町8-1　ヘンミビル201、202
韓国チーズグルメダイニング ジーレム GLEAM 高松瓦町店,月、水、木: 15:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:30）金、祝前日: 15:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）土: 12:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）日、祝日: 12:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:30）,香川県高松市鍛冶屋町４－２０ TWO　FEETビル　４階
骨付鳥 東 西インター店,月、水～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,香川県高松市中間町584－6
焼肉ホルモンしんみょう精肉店 鶴市店,月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,香川県高松市鶴市町2045-4
粋な海鮮酒場 ものっそ,月～木、土、祝日、祝前日: 17:30～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）金: 17:30～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:00）,香川県高松市福田町9-6　K-Bill福田町
GLEAM グリム 高松店,月、水、木: 15:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:30）金、祝前日: 15:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）土: 12:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）日、祝日: 12:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:30）,香川県高松市鍛冶屋町４－２０ TWO　FEETビル　４階
さかな屋さんの居酒屋 北島商店酒場,月～土、祝前日: 17:00～翌0:00 （料理L.O. 22:30 ドリンクL.O. 23:30）,香川県高松市兵庫町4-9
鉄板焼居酒屋 えん,月～土、祝前日: 17:00～翌3:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:00）日、祝日: 17:00～翌1:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:00）,香川県高松市鍛冶屋町1-18
MoiM 高松店,月～木、日、祝日: 12:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:30）金、土、祝前日: 12:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）,香川県高松市鍛冶屋町４－２０ TWO　FEETビル　１階
三ツ矢亭 鍛冶屋町店,月～土、祝日、祝前日: 17:30～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,香川県高松市鍛冶屋町4-19
